10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
1958;3709;5250;6959;8750;9750;11000;12750;13875;15375
1875;3875;5291;6750;8125;9583;11417;12667;14083;15541
1833;3833;5333;9125;8125;12833;11000;12458;13875;15375
1958;3833;5250;6833;8166;9584;12791;12417;13791;15250
1958;3875;5250;6792;8166;9584;11042;12458;14209;15375
1959;3958;5333;6792;8709;9667;11083;12541;13834;15375
1875;3917;5333;6708;8333;9583;11417;12875;14209;15583
1958;4041;5375;6917;8250;9584;11000;12542;13916;15667
1917;3833;5292;6750;8208;9583;11208;12500;13833;15292
1916;3917;5334;6792;8083;9500;11167;12458;13916;15417
1958;3875;5375;6791;8166;9625;11041;13917;13875;15917
1916;3875;5250;6792;8167;9500;10958;12542;13875;15250
1875;3875;5250;6750;8250;9750;11166;12458;13875;15750
1959;3875;5792;6916;8208;9875;11333;12458;14083;15250
1917;4500;5333;6750;8250;9583;11042;47958;13875;26625
1916;3875;5375;6667;8208;9583;11084;13083;14291;15458
1917;5083;5416;6834;8125;14458;11250;12708;17542;18500
1958;3875;5250;6791;8083;9583;11000;12417;13917;15208
1916;3917;5292;6791;8167;9583;15416;12459;13833;15875
1917;3875;5375;6791;8166;9542;11083;12500;13875;15292
1959;3875;5250;6709;8209;9584;11250;12667;14083;15583
1958;3875;7125;6750;8083;9541;14875;14500;13834;15250
1917;3917;5292;6792;8125;9584;10917;12500;14041;15333
1917;3917;5250;6792;8375;9625;10958;12417;13917;15583
1958;3917;5334;6750;8167;9583;11125;12417;14000;19583
1959;3875;5375;6709;8125;9625;11375;17709;14125;15583
1917;3875;5250;6709;8125;9583;11000;12417;13959;15250
1958;3917;5167;6667;8084;9542;11000;12917;13750;15417
1916;3833;5250;6708;8084;9542;11041;12459;19541;15458
1916;3875;5250;6666;8083;9500;11125;12417;14334;15292
1917;3916;5250;6750;8083;13250;11250;12583;14041;15541
1958;3833;5250;6750;8125;9625;11000;12500;13959;15417
1958;3833;5291;6792;8083;9625;11083;12500;13834;24083
1917;3875;5209;6750;8125;9500;11042;12458;13833;15334
1917;3875;5250;6667;8125;9500;10958;12458;14000;15209
1916;3834;5291;7125;8125;9625;11333;12667;14125;15541
1917;3833;5250;6708;8250;9500;11042;12458;13792;15333
1959;3833;7334;6750;8125;9542;11125;14667;13833;15291
1958;3791;5250;6750;8125;9542;11042;12416;13958;15334
1917;3917;5208;6708;8166;9833;15084;12541;14167;15667
1958;3917;5250;6750;8167;9583;11000;12500;14000;19834
1917;3875;5291;6667;8166;9583;11291;12708;14125;15584
2166;4083;5291;6917;8417;10000;11042;12500;13917;16125
1958;4041;5500;6666;8125;9583;11125;12500;13917;16625
1875;3916;5333;7208;8125;9666;11000;12541;13917;15417
1958;3875;5958;7667;8084;9750;11167;13292;15667;16500
2208;4291;5666;6916;8167;9584;11000;12541;18834;15333
2167;3875;5250;6791;8209;9541;10959;12417;14042;15333
1959;3875;5167;6750;8250;9542;11042;12375;13833;15541
1958;3834;5584;6834;8167;9583;11042;12417;13875;15250
1959;3875;5292;6750;8208;9583;11084;12375;13834;15208
1959;3875;5292;6750;8125;9583;11000;12500;14708;15167
1916;4625;24666;6708;8208;9584;10958;12458;14416;15250
1916;3875;5291;6750;8584;9625;11291;19167;14083;15542
1958;3875;5292;6708;8167;9500;10959;13417;13917;15292
1917;3875;5292;6709;8167;9500;10958;12416;13916;15250
1958;3875;5208;6750;8167;9583;11291;12458;13875;15417
2666;3834;5208;6750;8167;9500;11041;12459;15500;15250
1875;3917;5292;6708;8125;11083;11083;12458;13875;15291
1875;3834;5208;6750;8208;9667;11042;12542;13833;15417
1916;3875;5208;6708;8125;9458;11000;12416;13875;15333
1917;3875;5208;6750;8208;13375;11125;12667;13875;15292
1958;3833;5166;6792;8083;9583;10917;12750;13834;15417
1958;3875;5250;6667;8167;10917;11208;12666;14166;15541
1958;3875;5292;6708;8208;9541;11042;12500;13875;15250
1958;3958;5333;6667;8167;9500;10916;12459;13833;15291
1875;3875;5292;6792;8125;9667;11250;12458;13834;15250
1958;3834;7000;6833;10584;9500;11042;12500;13958;15250
1959;5375;5292;6750;8208;9583;11000;12416;13833;24958
1917;5500;5500;6708;8167;9583;11333;12708;14250;15916
1917;3917;5292;6750;8209;9500;11000;14625;13959;15333
1917;17125;5209;6875;8167;9625;11250;12709;14167;15709
1875;3875;5250;6750;8083;9583;11125;12416;14209;15250
1917;3833;5334;6750;8167;9500;11000;12459;13833;15167
1916;3875;5333;6750;8167;9667;11250;12625;14125;15500
1916;3833;5250;6708;8084;12917;11041;13500;13833;15167
2125;3916;5250;6708;8167;10958;11375;12458;13833;15333
1917;3875;5333;6750;8208;9500;11084;12375;13875;15292
2041;5541;5458;6750;10000;9458;11750;12417;13875;15292
1917;3875;5208;6750;8125;9542;11042;12417;13959;15250
1916;3875;5292;6667;8125;9625;11000;12458;13875;15416
1916;3875;5250;6792;8167;9584;11000;12459;13792;15375
1959;3917;7333;7875;8125;9542;11459;12666;14125;15667
1958;3917;5291;6750;8083;9583;11042;12375;13875;15334
1917;3875;5292;6708;8167;9541;11000;12500;13834;15167
1917;3917;5250;6750;8208;9583;10917;12417;13708;18375
1917;3834;5250;6708;8125;9500;11042;12500;13834;15250
1958;3875;5250;6709;8333;9542;10917;12458;13792;15250
1833;3917;5292;6875;8167;9541;11042;12417;13833;15292
1958;3875;5208;6750;8125;9500;11041;12416;13917;15333
1917;3917;7000;9042;8167;9541;11042;13000;13875;15292
1958;3875;5250;6750;8167;9625;11000;12458;13875;15292
1958;3875;5333;6750;8083;9542;11375;12667;14125;15625
1958;3833;5333;9083;8125;9625;11042;12375;13792;15291
1958;3875;5250;6791;8125;9500;11000;12500;13833;15250
1916;3833;5250;6708;8208;9542;10959;14167;13834;15458
1917;3875;5375;6708;8125;9500;11083;12458;19500;15292
1916;3875;5333;6750;8167;9625;11083;12542;13917;15334
1959;3917;5209;6750;8166;9584;11959;12458;13916;15292
1917;3875;5250;6708;8083;9500;11041;12375;13834;15292
